Account,Link,Tenemos datos?,Fecha ultima actualización data ,similar a ,Followers,1ra Categoría,2da Categoría,3ra Categoría,ER,% Male,% Female,M 13-17,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,"M ""+65""",F 13-17,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,"F ""+65""",Argentina,Other,CPM historico,Tiene Fee Plataforma?,REPRESENTANTE,Nombre Perfil
elpurre,https://www.instagram.com/elpurre,No,4/12/2020,lizardoponce,1300000,Actor/Actress,LifeStyle,,0.07,0.14,0.86,0.07,0.38,0.35,0.13,0.05,0.01,0.01,0.08,0.45,0.32,0.10,0.03,0.01,0.01,0.76,0.24,,,,
esmeraldamitreok,https://www.instagram.com/esmeraldamitreok,No,4/2/2020,brendagandiniok,122000,Actor/Actress,,,0.02,0.14,0.87,0.01,0.11,0.42,0.31,0.11,0.03,0.01,0.01,0.12,0.49,0.27,0.08,0.02,0.01,0.89,0.11,,,,
estefaniavillarrealvillarreal,https://www.instagram.com/estefaniavillarrealvillarreal,No,26/12/2018,onlinemami_,731000,Actor/Actress,,,0.03,0.13,0.87,0.05,0.45,0.36,0.09,0.03,0.01,0.01,0.07,0.50,0.34,0.06,0.02,0.00,0.01,0.72,0.28,,,,
fabianmazzeiok,https://www.instagram.com/fabianmazzeiok,No,11/8/2019,eugeniatobal,160949,Actor/Actress,,,0.02,0.20,0.80,0.02,0.14,0.37,0.31,0.11,0.03,0.02,0.01,0.12,0.43,0.31,0.09,0.03,0.01,0.90,0.10,,,,
facundoaranatagle,https://www.instagram.com/facundoaranatagle,No,3/13/2019,marianom78,424000,Actor/Actress,,,0.01,0.13,0.87,0.10,0.40,0.30,0.12,0.06,0.01,0.01,0.12,0.47,0.27,0.09,0.03,0.01,0.01,0.78,0.22,0,,,
federicoamador1,https://www.instagram.com/federicoamador1,Si,11/28/2018,juanminujin,681000,Actor/Actress,Celebrities,,0.02,0.08,0.92,0.03,0.26,0.41,0.21,0.07,0.01,0.01,0.02,0.23,0.45,0.22,0.06,0.01,0.01,0.90,0.10,0,,,
fercallejon,https://www.instagram.com/fercallejon,No,1/9/2020,eugeniatobal,1000000,Actor/Actress,Moms,LifeStyle,0.00,0.20,0.80,0.02,0.14,0.37,0.31,0.11,0.03,0.02,0.01,0.12,0.43,0.31,0.09,0.03,0.01,0.90,0.10,,,,
ferdente,https://www.instagram.com/ferdente,Si,6/9/2019,,511000,Actor/Actress,,,0.14,0.16,0.84,0.03,0.28,0.42,0.18,0.06,0.02,0.01,0.04,0.31,0.43,0.16,0.04,0.01,0.01,0.84,0.16,,,,
ferrorafa,https://www.instagram.com/ferrorafa,No,5/6/2020,juanminujin,118571,Actor/Actress,,,0.03,0.20,0.80,0.03,0.27,0.45,0.18,0.05,0.01,0.01,0.02,0.25,0.47,0.19,0.05,0.01,0.01,0.91,0.09,,,,
ferrorafa,https://www.instagram.com/ferrorafa,No,5/6/2020,juanminujin,118571,Actor/Actress,,,0.03,0.20,0.80,0.03,0.27,0.45,0.18,0.05,0.01,0.01,0.02,0.25,0.47,0.19,0.05,0.01,0.01,0.91,0.09,,,,
ferrototo,https://www.instagram.com/ferrototo,No,5/6/2020,kevsho,579000,Actor/Actress,,,0.06,0.20,0.80,0.15,0.45,0.24,0.10,0.04,0.01,0.01,0.15,0.45,0.24,0.10,0.04,0.01,0.01,0.91,0.09,,,,
fioreladuranda,https://www.instagram.com/fioreladuranda,Si,6/18/2019,,35200,Actor/Actress,,,0.04,0.18,0.82,0.06,0.30,0.32,0.19,0.08,0.03,0.02,0.09,0.37,0.32,0.15,0.05,0.01,0.01,0.85,0.15,,,,
