Account,Link,Tenemos datos?,Fecha ultima actualización data ,similar a ,Followers,1ra Categoría,2da Categoría,3ra Categoría,ER,% Male,% Female,M 13-17,M 18-24,M 25-34,M 35-44,M 45-54,M 55-64,"M ""+65""",F 13-17,F 18-24,F 25-34,F 35-44,F 45-54,F 55-64,"F ""+65""",Argentina,Other,CPM historico,Tiene Fee Plataforma?,REPRESENTANTE,Nombre Perfil
cinefiloses,https://www.instagram.com/cinefiloses,No,8/11/2019,cinefilosoficial,173000,Tele,,,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
cinefilosoficial,https://www.instagram.com/cinefilosoficial,No,8/11/2019,martingarabal,1100000,Tele,,,0.05,0.51,0.49,0.01,0.23,0.54,0.18,0.03,0.00,0.01,0.01,0.24,0.53,0.17,0.03,0.01,0.01,0.91,,,,,
cinetrola,https://www.instagram.com/cinetrola,No,8/2/2022,martingarabal,8800,Tele,,,0.17,0.51,0.49,0.01,0.23,0.54,0.18,0.03,0.00,0.01,0.01,0.24,0.53,0.17,0.03,0.01,0.01,0.91,,,,,
cinetrola tk,https://www.instagram.com/cinetrola tk,No,8/2/2022,martingarabal,80200,Tele,,,0.12,0.25,0.75,0.01,0.23,0.54,0.18,0.03,0.00,0.01,0.01,0.24,0.53,0.17,0.03,0.01,0.01,0.60,,,,,
cinthia_fernandez_,https://www.instagram.com/cinthia_fernandez_,No,4/11/2019,holasoylaurita,3800000,Tele,Fitness,,0.00,0.36,0.64,0.06,0.35,0.36,0.16,0.05,0.01,0.01,0.08,0.37,0.33,0.14,0.05,0.02,0.01,0.84,0.16,,,,
cinthifernandez,https://www.twitter.com/cinthifernandez,No,4/11/2019,holasoylaurita,1875000,Tele,Fitness,,,0.36,0.64,0.06,0.35,0.36,0.16,0.05,0.01,0.01,0.08,0.37,0.33,0.14,0.05,0.02,0.01,0.84,0.16,,,,
ciro6as,https://www.instagram.com/ciro6as,No,29/09/20,dariobarassi,31900,Tele,,,0.03,0.23,0.77,0.03,0.24,0.45,0.21,0.05,0.01,0.01,0.03,0.25,0.43,0.20,0.06,0.02,0.01,0.91,0.09,,,,
claudiavillafaneok,https://www.instagram.com/claudiavillafaneok,No,12/7/2021,dalmaradona,1200000,Tele,,,0.02,0.25,0.75,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.70,0.30,,,,
connieansaldi,https://www.instagram.com/connieansaldi,No,8/6/2020,eugeniatobal,989000,Tele,LifeStyle,Influencer,0.00,0.20,0.80,0.02,0.14,0.37,0.31,0.11,0.03,0.02,0.01,0.12,0.43,0.31,0.09,0.03,0.01,0.90,0.10,,,,
costaokis,https://www.instagram.com/costaokis,No,6/15/2021,lizytagliani,703000,Tele,,,0.00,0.18,0.82,0.03,0.44,0.38,0.10,0.03,0.01,0.01,0.03,0.44,0.38,0.10,0.03,0.01,0.01,0.84,0.16,0,,,
cris_noticias,https://www.instagram.com/cris_noticias,No,1/2/2019,germanpaoloski,542871,Tele,,,0.01,0.20,0.80,0.01,0.13,0.45,0.28,0.08,0.01,0.04,0.01,0.11,0.47,0.27,0.08,0.02,0.04,0.91,0.09,0,,,
crisvanadia,https://www.instagram.com/crisvanadia,Parcial,9/6/2022,rango todos,317000,Tele,Journalist,,0.04,0.20,0.80,0.12,0.37,0.36,0.08,0.04,0.01,0.01,0.12,0.37,0.36,0.08,0.04,0.01,0.01,0.88,0.12,,,,
crisvanadia TK,https://www.tiktok.com/@crisvanadia,No,28/07/20,crisvanadia,288500,Tele,Celebrities,,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
dalmaradona,https://www.instagram.com/dalmaradona,No,4/11/2019,barby_silenzi,1700000,Tele,,,0.08,0.35,0.65,0.04,0.30,0.40,0.19,0.05,0.01,0.01,0.05,0.34,0.39,0.15,0.04,0.02,0.01,0.70,0.30,,,,
dalmaradona tw,https://www.twitter.com/dalmaradona tw,No,4/11/2019,barby_silenzi,788000,Tele,,,0.01,0.35,0.65,0.04,0.30,0.40,0.19,0.05,0.01,0.01,0.05,0.34,0.39,0.15,0.04,0.02,0.01,0.70,0.30,,,,
deboradamato,https://www.instagram.com/deboradamato,No,5/20/2019,soymaju,243000,Tele,Moms,,0.01,0.19,0.81,0.01,0.12,0.43,0.32,0.09,0.02,0.01,0.01,0.09,0.47,0.32,0.08,0.02,0.01,0.96,0.04,,,,
dieleuco,https://www.instagram.com/dieleuco,Parcial,2/20/2019,nicoocchiato,506743,Tele,,,0.05,0.22,0.79,0.01,0.07,0.29,0.27,0.18,0.11,0.07,0.01,0.07,0.29,0.27,0.18,0.11,0.07,0.88,0.12,,,,
dieleuco TK,https://www.instagram.com/dieleuco TK,No,8/22/2022,dieleuco,37100,Tele,,,1.01,0.22,0.79,0.01,0.07,0.29,0.27,0.18,0.11,0.07,0.01,0.07,0.29,0.27,0.18,0.11,0.07,0.88,0.12,,,,
disneynerd.sofi,https://www.instagram.com/disneynerd.sofi,No,8/11/2019,stephaniedemner,10100,Tele,,,0.13,0.04,0.96,0.05,0.47,0.32,0.09,0.03,0.03,0.01,0.05,0.47,0.32,0.09,0.03,0.03,0.01,0.84,,,,,
dolojimenezsla,https://www.instagram.com/dolojimenezsla,Si,18/09/2019,,10700,Tele,Moms,,0.02,0.49,0.51,0.02,0.19,0.44,0.25,0.07,0.02,0.01,0.02,0.19,0.44,0.25,0.07,0.02,0.01,0.92,0.08,,,,
eddiefitte,https://www.instagram.com/eddiefitte,No,4/15/2019,miguegrana,74700,Tele,,,0.02,0.52,0.48,0.02,0.28,0.47,0.17,0.04,0.01,0.01,0.02,0.23,0.49,0.19,0.05,0.01,0.01,0.89,0.11,,,,
enzojfernandez,https://www.instagram.com/enzojfernandez,Parcial,2/20/2019,dieleuco,489000,Tele,,,0.20,0.77,0.23,0.01,0.07,0.29,0.27,0.18,0.11,0.07,0.01,0.07,0.29,0.27,0.18,0.11,0.07,0.95,0.05,,,,
escuderosilvina,https://www.instagram.com/escuderosilvina,No,7/7/2020,noeliamarzolok,1366078,Tele,Bailarina,,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
estefaniaberardi,https://www.instagram.com/estefaniaberardi,No,12/11/2020,florivigna,714000,Tele,Foodie,,"1,36%",0.33,0.67,0.06,0.35,0.36,0.16,0.05,0.01,0.01,0.08,0.37,0.33,0.14,0.05,0.02,0.01,0.85,0.15,,,,
evelynscheidl,https://www.instagram.com/evelynscheidl,No,16/12/2019,janajanitablog,30500,Tele,,,0.05,0.06,0.94,0.00,0.09,0.31,0.29,0.18,0.06,0.07,0.00,0.03,0.25,0.38,0.22,0.07,0.05,0.90,0.10,,,,
facumazzei,https://www.instagram.com/facumazzei,Si,5/6/2019,,704000,Tele,Bailarina,,0.00,0.21,0.79,0.13,0.43,0.32,0.07,0.03,0.01,0.01,0.14,0.46,0.28,0.08,0.02,0.01,0.01,0.79,0.21,,,,
fermetilli,https://www.instagram.com/fermetilli,Si,25/11/20,,606000,Tele,Celebrities,,0.02,0.31,0.69,0.01,0.16,0.49,0.26,0.06,0.01,0.01,0.01,0.18,0.51,0.22,0.06,0.01,0.01,0.92,0.08,,,,
fermetilli TK,https://www.tiktok.com/@fermetilli,No,28/07/20,fermetilli,140200,Tele,Celebrities,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
fiogimenez1,https://www.instagram.com/fiogimenez1,No,1/28/2022,florjazminpe,231000,Tele,,,0.05,0.35,0.65,0.03,0.31,0.45,0.15,0.05,0.01,0.00,0.03,0.31,0.45,0.15,0.05,0.01,0.00,0.82,0.18,,,,
fiosargenti,https://www.instagram.com/fiosargenti,Si,7/1/2021,,62000,Tele,,,0.02,0.64,0.36,0.00,0.07,0.46,0.35,0.08,0.01,0.00,0.00,0.11,0.51,0.27,0.06,0.01,0.00,0.92,0.18,,,,
flapalmiero,https://www.instagram.com/flapalmiero,No,31/08/20,pampitaoficial,351000,Tele,,,0.01,0.31,0.69,0.05,0.28,0.36,0.20,0.07,0.02,0.02,0.04,0.26,0.38,0.20,0.07,0.03,0.02,0.81,0.19,,,,
flapalmiero tw,https://www.instagram.com/flapalmiero tw,No,31/08/20,flapalmiero,420900,Tele,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
flavialocutora,https://www.instagram.com/flavialocutora,Si,29/07/20,,42700,Tele,,,0.02,0.35,0.65,0.00,0.05,0.33,0.39,0.18,0.05,0.01,0.00,0.05,0.38,0.36,0.15,0.04,0.01,0.99,0.01,0,,,
flor_aramayo,https://www.instagram.com/flor_aramayo,Si,18/09/2019,,22900,Tele,Model,,0.02,0.44,0.56,0.02,0.20,0.44,0.25,0.06,0.02,0.01,0.02,0.27,0.49,0.16,0.04,0.01,0.01,0.97,0.03,,,,
flordelave,https://www.instagram.com/flordelave,No,6/19/2019,lizytagliani,1000000,Tele,,,0.01,0.18,0.82,0.03,0.44,0.38,0.10,0.03,0.01,0.01,0.03,0.44,0.38,0.10,0.03,0.01,0.01,0.84,0.16,,,,
florjazminp TK,www.tiktok.com/@florjazminp,No,10/6/2022,florjazminpe,880300,Tele,,,0.06,0.35,0.65,0.03,0.31,0.45,0.15,0.05,0.01,0.00,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
florjazminpe,https://www.instagram.com/florjazminpe,Parcial,10/6/2022,rango todos,1500000,Tele,Bailarina,,0.10,0.35,0.65,0.03,0.31,0.45,0.15,0.05,0.01,0.00,0.03,0.31,0.45,0.15,0.05,0.01,0.00,0.82,0.18,,,,
flormedinab,https://www.instagram.com/flormedinab,Si,22/10/20,,51000,Tele,Journalist,,0.04,0.48,0.52,0.01,0.13,0.42,0.29,0.11,0.03,0.01,0.01,0.19,0.46,0.22,0.09,0.03,0.01,0.97,0.03,,,,
franmagriok,https://z-p42.www.instagram.com/franmagriok/,No,5/31/2022,angela.lerena,11400,Tele,,,0.04,0.78,0.22,0.01,0.14,0.40,0.31,0.10,0.03,0.01,0.01,0.18,0.41,0.27,0.09,0.03,0.01,0.93,0.07,,,,
frantinelli1,https://www.instagram.com/frantinelli1,No,28/11/2018,furtadonico,607000,Tele,,,0.01,0.11,0.89,0.03,0.25,0.47,0.17,0.06,0.02,0.01,0.02,0.31,0.49,0.14,0.03,0.00,0.01,0.80,0.20,,no,si,si
giamaradona,https://www.instagram.com/giamaradona,No,4/11/2019,dalmaradona,376000,Tele,,,0.09,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.70,0.30,,,,
gianmaradona tw,https://www.twitter.com/gianmaradona tw,No,4/11/2019,dalmaradona,465000,Tele,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.70,0.30,,,,
givellaz,https://www.instagram.com/givellaz,Si,20/04/20,,10284,Tele,Journalist,LifeStyle,0.04,0.45,0.55,0.02,0.21,0.35,0.25,0.12,0.04,0.01,0.02,0.19,0.38,0.24,0.10,0.05,0.02,0.79,0.21,,,,
gusconti,https://www.instagram.com/gusconti,Parcial,7/5/2020,eugeniatobal,550000,Tele,Celebrities,,"1,5%",0.14,0.86,0.02,0.14,0.37,0.31,0.11,0.03,0.02,0.00,0.10,0.45,0.30,0.08,0.02,0.05,0.90,0.10,,,,
gzaffora,https://www.instagram.com/gzaffora,No,28/07/20,crisvanadia,120000,Tele,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
hernan22montenegro,https://www.instagram.com/hernan22montenegro,No,4/11/2019,monokpg,116000,Tele,,,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
horaciocabak,https://www.instagram.com/horaciocabak,No,11/8/2019,eugeniatobal,49251,Tele,,,0.02,0.20,0.80,0.02,0.14,0.37,0.31,0.11,0.03,0.02,0.01,0.12,0.43,0.31,0.09,0.03,0.01,0.90,0.10,,,,
ivinadal tw,https://www.twitter.com/ivinadal tw,No,4/11/2019,florivigna,306000,Tele,Model,,0.01,0.33,0.67,0.06,0.35,0.36,0.16,0.05,0.01,0.01,0.08,0.37,0.33,0.14,0.05,0.02,0.01,0.85,0.15,,,,
julian_weich,https://www.instagram.com/julian_weich,Parcial,7/8/2020,,72700,Tele,,,"1,8%",0.31,0.69,0.02,0.13,0.31,0.32,0.16,0.04,0.02,0.01,0.12,0.33,0.32,0.16,0.04,0.02,0.93,0.07,,,,
julicayetina,https://www.instagram.com/julicayetina,Parcial,4/8/2022,rango todos,130000,Tele,,,0.01,0.57,0.43,0.00,0.04,0.35,0.43,0.13,0.03,0.02,0.00,0.04,0.35,0.43,0.13,0.03,0.02,0.85,0.15,,,,
karincohenok,https://www.instagram.com/karincohenok,No,10/2/2019,DAYANA_RECIH,3332,Tele,,,0.04,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
lasobrideperez,https://www.instagram.com/lasobrideperez,No,4/11/2019,ivinadal,5700000,Tele,Model,,0.02,0.69,0.31,0.03,0.27,0.42,0.20,0.06,0.01,0.01,0.03,0.32,0.45,0.15,0.03,0.01,0.01,0.86,0.14,,,,
leandroleunis,https://www.instagram.com/leandroleunis,Si,8/7/2020,,877289,Tele,,,0.01,0.17,0.83,0.03,0.23,0.41,0.21,0.07,0.01,0.04,0.02,0.19,0.43,0.23,0.07,0.02,0.04,0.94,0.06,0,,,
leandroleunis FB,https://www.facebook.com/leandroleunis FB,No,12/8/2019,leandroleunis,1069203,Tele,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
leandroleunis TW,https://www.instagram.com/leandroleunis TW,No,12/8/2019,leandroleunis,386600,Tele,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
leandroleunis YT,https://www.youtube.com/leandroleunis YT,No,12/8/2019,leandroleunis,219000,Tele,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
lourdesanchezok tw,https://www.twitter.com/lourdesanchezok tw,No,4/11/2019,florivigna,1228000,Tele,,,0.01,0.33,0.67,0.06,0.35,0.36,0.16,0.05,0.01,0.01,0.08,0.37,0.33,0.14,0.05,0.02,0.01,0.85,0.15,,,,
LRubinska,https://www.twitter.com/LRubinska,No,4/11/2019,soymaju,132000,Tele,Deporte,,0.01,0.19,0.81,0.01,0.12,0.43,0.32,0.09,0.02,0.01,0.01,0.09,0.47,0.32,0.08,0.02,0.01,0.96,0.04,,,,
luciabulacios,https://www.instagram.com/luciabulacios,No,10/2/2019,DAYANA_RECIH,1253,Tele,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
lucianarubinska,https://www.instagram.com/lucianarubinska,No,3/19/2019,soymaju,507000,Tele,,,0.03,0.19,0.81,0.01,0.12,0.43,0.32,0.09,0.02,0.01,0.01,0.09,0.47,0.32,0.08,0.02,0.01,0.70,0.30,0,,,
lucyabatedaga,https://www.instagram.com/lucyabatedaga,Si,12/12/2019,fashionfanar,2585,Tele,,,0.03,0.48,0.52,0.01,0.24,0.46,0.21,0.05,0.02,0.01,0.01,0.24,0.46,0.21,0.05,0.02,0.01,0.90,0.10,,,,
luisaalbinoni,https://twitter.com/luisaalbinoni,No,11/9/2021,analiafranchin,25100,Tele,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
lulitru,https://www.instagram.com/lulitru,No,6/15/2021,marufernandez_,123000,Tele,Journalist,,0.05,0.52,0.48,0.00,0.07,0.31,0.36,0.17,0.05,0.03,0.00,0.06,0.30,0.37,0.18,0.07,0.02,0.96,0.04,,,,
maiadelafuente,https://www.instagram.com/maiadelafuente,Si,4/12/2019,DAYANA_RECIH,2429,Tele,,,0.03,0.51,0.49,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0.98,0.02,,,,
majomartino,https://www.instagram.com/majomartino,No,28/08/20,jesicacirio,602000,Tele,,,0.01,0.37,0.63,0.02,0.19,0.40,0.23,0.08,0.02,0.06,0.02,0.19,0.43,0.23,0.07,0.02,0.04,0.84,0.16,,,,
majomartino TK,https://www.tiktok.com/@majomartino?,No,9/20/2021,majomartino,10600,Tele,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
marianasolerok,https://www.instagram.com/marianasolerok,No,2/4/2022,monicajuarez8,56000,Tele,Fitness,,0.08,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
martinafasce,https://www.instagram.com/martinafasce,Si,6/15/2021,,299000,Tele,LifeStyle,,0.03,0.59,0.41,0.03,0.22,0.44,0.22,0.07,0.01,0.01,0.04,0.32,0.43,0.15,0.04,0.01,0.01,0.94,0.06,,,,
martinsalwe,https://www.instagram.com/martinsalwe,No,30/07/20,crisvanadia,119000,Tele,,,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
marydupleich,,No,10/2/2020,florivigna,49800,Tele,,,0.02,0.33,0.67,0.06,0.35,0.36,0.16,0.05,0.01,0.01,0.08,0.37,0.33,0.14,0.05,0.02,0.01,0.86,0.14,,,,
matiasmartin,https://www.instagram.com/matiasmartin,No,27/08/19,germanpaoloski,131000,Tele,,,0.03,0.25,0.75,0.01,0.13,0.45,0.28,0.08,0.01,0.04,0.01,0.11,0.47,0.27,0.08,0.02,0.04,0.91,0.09,,,,
melinoto CH,https://www.instagram.com/melinoto CH,No,28/11/2018,florivigna,49300,Tele,,,0.07,0.76,0.24,0.06,0.35,0.36,0.16,0.05,0.01,0.01,0.08,0.37,0.33,0.14,0.05,0.02,0.01,0.62,0.38,,,,
mguinzburg,https://www.instagram.com/mguinzburg,Si,6/19/2019,,452000,Tele,,,0.01,0.19,0.81,0.02,0.12,0.36,0.33,0.13,0.03,0.01,0.01,0.11,0.42,0.31,0.11,0.03,0.01,0.94,0.06,,,,
mguinzburgTW,https://www.instagram.com/mguinzburgTW,No,6/19/2019,mguinzburg,420600,Tele,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
MicaViciconte tw,https://www.twitter.com/MicaViciconte tw,No,4/11/2019,micaviciconte,844000,Tele,Model,,0.01,0.34,0.66,0.05,0.30,0.37,0.18,0.07,0.02,0.01,0.05,0.30,0.37,0.18,0.07,0.02,0.01,0.87,0.13,,,,
miraestapeliya,https://www.instagram.com/miraestapeliya,No,8/11/2019,cinefilosoficial,66500,Tele,,,0.02,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,,
monicajuarez8,https://www.instagram.com/monicajuarez8,No,1/29/2019,cris_noticias,10435,Tele,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,,,
moreerial,https://www.instagram.com/moreerial,No,4/11/2019,dalmaradona,1000000,Tele,,,0.06,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
nannitaweber,https://www.instagram.com/nannitaweber,No,4/11/2019,ivinadal,319000,Tele,Model,,0.04,0.69,0.31,0.03,0.27,0.42,0.20,0.06,0.01,0.01,0.03,0.32,0.45,0.15,0.03,0.01,0.01,0.86,0.14,,,,
Nannitaweber tw,https://www.twitter.com/Nannitaweber tw,No,4/11/2019,ivinadal,52600,Tele,,,0.01,0.69,0.31,0.03,0.27,0.42,0.20,0.06,0.01,0.01,0.03,0.32,0.45,0.15,0.03,0.01,0.01,0.86,0.14,,,,
nazadiserio,https://www.instagram.com/nazadiserio,No,3/19/2019,florivigna,126000,Tele,,,0.08,0.33,0.67,0.06,0.35,0.36,0.16,0.05,0.01,0.01,0.08,0.37,0.33,0.14,0.05,0.02,0.01,0.85,0.15,0,,,
ngmagaldi,https://www.instagram.com/ngmagaldi,No,2/20/2019,germanpaoloski,672000,Tele,,,0.01,0.25,0.75,0.01,0.13,0.45,0.28,0.08,0.01,0.04,0.01,0.11,0.47,0.27,0.08,0.02,0.04,0.91,0.09,0,,,
nicolasrepettok,https://www.instagram.com/nicolasrepettok,No,5/6/2020,juanavialeoficial,179793,Tele,Celebrities,,"1,8%",0.24,0.76,0.05,0.28,0.40,0.20,0.05,0.01,0.01,0.06,0.32,0.40,0.16,0.04,0.01,0.01,0.86,0.14,,,,
noeantonelli,https://www.instagram.com/noeantonelli,Si,8/24/2021,,108000,Tele,,,0.01,0.18,0.82,0.01,0.08,0.33,0.33,0.17,0.06,0.02,0.00,0.05,0.34,0.34,0.15,0.08,0.03,0.91,0.09,,,,
noeliamarzol tw,https://www.twitter.com/noeliamarzol tw,No,4/11/2019,ivinadal,226000,Tele,Model,,0.01,0.69,0.31,0.03,0.27,0.42,0.20,0.06,0.01,0.01,0.03,0.32,0.45,0.15,0.03,0.01,0.01,0.86,0.14,,,,
noeliamarzolok,https://www.instagram.com/noeliamarzolok,No,4/11/2019,ivinadal,2300000,Tele,Model,,0.01,0.69,0.31,0.03,0.27,0.42,0.20,0.06,0.01,0.01,0.03,0.32,0.45,0.15,0.03,0.01,0.01,0.86,0.14,,,,
odonnellmaria,https://www.instagram.com/odonnellmaria,No,13/05/20,chinitaansa,135000,Tele,,,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
odonnellmaria tw,https://www.instagram.com/odonnellmaria tw,No,13/05/20,odonnellmaria,329900,Tele,,,0.01,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
ovasabatini,https://www.instagram.com/ovasabatini,No,5/6/2020,orianasabatini,129213,Tele,,,"12,5%",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
pablitofabregas,https://www.instagram.com/pablitofabregas,No,28/07/20,facundoaranatagle,105000,Tele,,,0.01,0.13,0.87,0.10,0.40,0.30,0.12,0.06,0.01,0.01,0.12,0.47,0.27,0.09,0.03,0.01,0.01,0.78,0.22,,,,
pairod,https://www.instagram.com/pairod,No,4/9/2020,micaviciconte,610000,Tele,Deporte,,,0.34,0.66,0.05,0.30,0.37,0.18,0.07,0.02,0.01,0.05,0.30,0.37,0.18,0.07,0.02,0.01,0.87,0.13,,,,
palivarela,https://www.instagram.com/palivarela,No,28/11/2018,soymaju,78800,tele,,,0.01,0.19,0.81,0.01,0.12,0.43,0.32,0.09,0.02,0.01,0.01,0.09,0.47,0.32,0.08,0.02,0.01,0.96,,,,,
peladolopezok,https://www.instagram.com/peladolopezok,Si,23/04/20,,566355,Tele,Celebrities,,0.01,0.21,0.79,0.01,0.12,0.43,0.29,0.09,0.02,0.04,0.00,0.09,0.45,0.29,0.09,0.03,0.05,0.94,0.06,,,,
pipabenedetto,https://www.instagram.com/pipabenedetto,Parcial,2/20/2019,dieleuco,2300000,Tele,,,0.09,0.78,0.22,0.01,0.07,0.29,0.27,0.18,0.11,0.07,0.01,0.07,0.29,0.27,0.18,0.11,0.07,0.64,0.36,,,,
poggi,https://www.instagram.com/poggi,No,12/22/2021,okarielrodriguez,370108,Tele,,,0.01,0.69,0.31,0.02,0.24,0.48,0.20,0.04,0.01,0.01,0.02,0.21,0.46,0.21,0.07,0.02,0.01,0.95,0.05,0,no,si,si
poggi Tk,https://www.instagram.com/poggi Tk,No,,poggi,155600,Tele,,,0.03,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,0,no,si,si
polittiandrea,https://www.instagram.com/polittiandrea,No,29/05/20,matildablanco,165203,Tele,,,"1,3%",#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,,,,
polloalvarez,https://www.instagram.com/polloalvarez,Parcial,9/6/2022,rango etario todos,1000000,Tele,,,0.00,0.20,0.80,0.04,0.20,0.40,0.25,0.08,0.03,0.02,0.04,0.20,0.40,0.25,0.08,0.03,0.02,0.83,0.17,0,si,no,no
polloalvarezokTK,https://www.instagram.com/polloalvarezokTK,Si,22/4/20,nicovazquezok,156000,Tele,,,0.01,0.17,0.83,0.03,0.24,0.45,0.21,0.05,0.01,0.01,0.03,0.25,0.43,0.20,0.06,0.02,0.01,0.95,0.05,,si,no,no
rebecabortoletto,https://www.instagram.com/rebecabortoletto,No,7/16/2018,soymaju,22500,Tele,,,0.01,0.48,0.52,0.10,0.44,0.31,0.10,0.03,0.01,0.01,0.05,0.42,0.37,0.10,0.04,0.01,0.01,0.39,0.61,,,,
riflevarela,https://www.instagram.com/riflevarela,No,4/15/2019,germanpaoloski,85200,Tele,,,0.01,0.45,0.55,0.01,0.13,0.45,0.28,0.08,0.01,0.04,0.01,0.11,0.47,0.27,0.08,0.02,0.04,0.91,0.09,,,,
